Index,FAC_NAME,FAC_LAT,FAC_LONG,ANNUAL_EMISSION
1.1E+11,HP HOOD LLC - AGAWAM PLANT,42.08469,-72.61897,7854.000037
1.1E+11,NORTHEAST TREATERS INC,42.26149,-72.40526,0
1.1E+11,ASHLAND HERCULES WATER TECHNOLOGIES,42.181944,-72.609167,59218.0114
1.1E+11,CALLAWAY GOLF BALL OPERATIONS INC,42.17553,-72.61462,482674.9312
1.1E+11,INTERNATIONAL METAL PRODUCTS,42.18839,-72.59982,4000
1.1E+11,RANDOLPH PRODUCTS CO,42.153331,-72.330281,102243.608
1.1E+11,LENOX TOOLS,42.05325,-72.52331,348148.5136
1.1E+11,U.S. TSUBAKI POWER TRANSMISSION LLC - ROLLER CHAIN DIVISION,42.191082,-72.619891,1
1.1E+11,HAZEN PAPER CO,42.19251,-72.60981,537641.9597
1.1E+11,JAMES AUSTIN (ELITE CHEMICAL),42.165068,-72.491318,9695.664516
1.1E+11,LAMINATING COATING TECHNOLOGIES INC,42.120299,-72.307873,63909
1.1E+11,QUABBIN WIRE & CABLE,42.258314,-72.239573,5040
1.1E+11,COLUMBIA MANUFACTURING INC,42.11144,-72.74138,31688.41913
1.1E+11,RPM WOOD FINISHES GROUP INC,42.12555,-72.72583,27543.206
1.1E+11,FOUNTAIN PLATING CO INC,42.15477,-72.64863,457946.7717
1.1E+11,AGRI MARK INC,42.13065,-72.627313,289108.2116
1.1E+11,CYALUME TECHNOLOGIES INC,42.096304,-72.618162,41123.91179
1.1E+11,UTILITY MANUFACTURING CO,42.14908,-72.44666,0
1.1E+11,SMITH & WESSON,42.13722,-72.54706,174356.4873
1.1E+11,STORMS FORGE INCORPORATED,42.13927,-72.53861,299.36
1.1E+11,LUSTER-ON PRODUCTS INC,42.10985,-72.56132,24
1.1E+11,SOLUTIA CHEMICAL MANUFACTURING PLANT,42.154981,-72.526419,13980302.53
1.1E+11,MASSPOWER COGENERATION FACILITY,42.156979,-72.522369,6572601043
1.1E+11,SABIC INNOVATIVE PLASTICS,42.4625,-73.21369,2236.839184
1.1E+11,PITTSFIELD GENERATING POWER PLANT,42.45488,-73.21734,2153073.928
1.1E+11,HOLLAND COMPANY,42.65338,-73.11039,16315.00194
1.1E+11,"SPECIALTY MINERALS, INC.",42.6432,-73.1135,2470147.941
1.1E+11,BETE FOG NOZZLE INC,42.619163,-72.558105,1456
1.1E+11,LS STARRETT PRECISION TOOLS,42.595325,-72.226707,631986.8788
1.1E+11,ERVING PAPER MILLS,42.60008,-72.37838,3163980.191
1.1E+11,HARRIS MFG & SUPPLY,42.58289,-72.30281,21171.31979
1.1E+11,JUDD WIRE INC,42.58878,-72.55703,33622.46179
1.1E+11,SIMONDS INTERNATIONAL CORP,42.56985,-71.7741,40449.52663
1.1E+11,OMNOVA SOLUTIONS PERFORMANCE CHEMICALS MANUFACTURING FACILITY,42.552185,-71.84844,13884.21539
1.1E+11,NASOYA FOODS USA LLC,42.562573,-71.533697,11494.69239
1.1E+11,MEXICHEM SPECIALTY COMPOUNDS INC,42.53291,-71.70803,239927.8737
1.1E+11,ALPHA WIRE CO,42.54923,-71.74558,0
1.1E+11,MONSON CHEMICAL DISTRIBUTION,42.531335,-71.709679,3739
1.1E+11,NOVEON,42.53099,-71.75202,28269.38612
1.1E+11,HUDSON COLOR CONCENTRATES,42.501819,-71.738031,13.7
1.1E+11,S&E SPECIALTY POLYMERS LLC,42.536041,-71.704031,68975.78083
1.1E+11,"ASTRON, INC",42.67441,-71.56659,0
1.1E+11,HOLLINGSWORTH & VOSE,42.61366,-71.63378,1391368.605
1.1E+11,ADVANCE COATINGS COMPANY,42.552405,-71.869697,51626.06174
1.1E+11,KADANT SOLUTIONS DIV,42.22235,-71.82886,1391.655201
1.1E+11,INNER-TITE CORP,42.33738,-71.84352,109.84
1.1E+11,CLARIANT MASTERBATCHES DIVISION,42.34071,-71.844937,115
1.1E+11,LEWCOTT CORPORATION,42.18568,-71.74419,241882.6132
1.1E+11,QUABAUG RUBBER CO,42.26861,-72.08391,95267.64964
1.1E+11,SUPERCON WIRE,42.27844,-71.689,12178
1.1E+11,DEXTER RUSSELL INC,42.08235,-72.03833,26060
1.1E+11,GE OSMONICS,42.275272,-71.573889,102320.7213
1.1E+11,FLEXOGRAPHIC INC,42.25905,-71.79217,7140
1.1E+11,SAINT GOBAIN PERFORMANCE PLASTICS,42.30105,-71.76253,43103.05115
1.1E+11,BODYCOTE THERMAL PROCESSING,42.282794,-71.805903,26919
1.1E+11,INDEPENDENT PLATING CO. INC.,42.28724,-71.79568,33506.57835
1.1E+11,"KT ACQUISITION LLC, DBA KOMTEK FORGE",42.313298,-71.797547,1776.77
1.1E+11,NEW METHOD PLATING CO INC,42.25193,-71.81111,15115
1.1E+11,WYMAN GORDON CO,42.25693,-71.8014,20580.82942
1.1E+11,SAINT GOBAIN ABRASIVES,42.3048,-71.8015,6827363.011
1.1E+11,HAARTZ CORP,42.48114,-71.457289,57969.28191
1.1E+11,ANIKA THERAPEUTICS,42.480057,-71.266456,10940.08
1.1E+11,LISTA INTERNATIONAL INC,42.2099,-71.41239,66960
1.1E+11,INTEL FAB 17 SEMICONDUCTOR MANUFACTURING,42.37938,-71.55696,457196.7955
1.1E+11,DAV-TECH PLATING INC,42.31647,-71.57932,3038
1.1E+11,ROHM & HAAS ELECTRONICS MATERIALS,42.331661,-71.591577,30607.71515
1.1E+11,LYTRON INC,42.51118,-71.1273,91666
1.1E+11,PFIZER RESEARCH,42.61413,-71.16952,1103836.84
1.1E+11,SHAWSHEEN RUBBER,42.62743,-71.15607,28440.10323
1.1E+11,AOTCO METAL FINISHING,42.53044,-71.25473,44282.06185
1.1E+11,3M CO STATIC CONTROL SYSTEMS,42.59504,-71.32118,1760
1.1E+11,KEY POLYMER,42.68823,-71.17894,1275.5
1.1E+11,JAYBIRD & MAIS INC,42.704016,-71.142326,10083.02151
1.1E+11,SEKISUI VOLTEK LLC,42.68581,-71.17875,14448.30049
1.1E+11,JOHNSON MATTHEY PHARMA SERVICES,42.65636,-71.10835,23463.78
1.1E+11,IDEAL TAPE COMPANY,42.63828,-71.34229,2200842.893
1.1E+11,BRADFORD INDUSTRIES,42.63613,-71.30053,412598.8581
1.1E+11,PACE INDUSTRIES - CAMBRIDGE DIV,42.592379,-71.283494,0.053
1.1E+11,STANDEX INTERNATIONAL SPINCRAFT DIVISION,42.58434,-71.269708,52.69608
1.1E+11,TRANS-MATE,42.56516,-71.30379,0
1.1E+11,NEXEO SOLUTIONS,42.62062,-71.25947,69721.00051
1.1E+11,DSM LIQUID COATING RESINS,42.535761,-71.158455,49287.64469
1.1E+11,ANALOG DEVICES MANUFACTURING,42.53093,-71.14964,608058.7942
1.1E+11,POSCO (PRINTERS OIL SUPPLY CO),42.604163,-71.162666,24926.8
1.1E+11,ALLCOAT TECHNOLOGY,42.531376,-71.153682,83556.62796
1.1E+11,TECOMET,42.53031,-71.15332,1250.35
1.1E+11,CL HAUTHAWAY & SONS,42.45769,-70.97425,51526.40853
1.1E+11,GARELICK FARMS LYNN PLANT,42.45254,-70.96221,134795.1971
1.1E+11,GE AVIATION,42.452603,-70.973436,10398042.3
1.1E+11,ITW DEVCON PLEXUS,42.55021,-70.9259,279103.0608
1.1E+11,BOSTIK MANUFACTURING PLANT,42.569383,-71.029235,246818.5201
1.1E+11,"INNOCOR FOAM TECHNOLOGIES NEWBURYPORT, LLC",42.7973,-70.888298,5728.84
1.1E+11,ITW FOILS,42.79696,-70.89103,84718.55701
1.1E+11,UNION SPECIALTIES,42.7964,-70.89044,2257
1.1E+11,ROUSSELOT GELATINE,42.521667,-70.939444,2636049.006
